row_id,workflow_type,task_count,instance,actual_num_tasks,num_edges,dag_depth,max_parallel_width,critical_path_tasks,num_task_categories,total_input_bytes,platform_name,num_hosts,cores_per_host,total_cores,speed_gf,net_bw,net_lat,disk_bw,watt_idle,watt_busy,makespan_sec,energy_joules
786f39bcb5,Genome,150,1,148,223,3,83,3,4,97966551507,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,98.1031,7146.47
0a4b4a1685,Genome,150,1,148,223,3,83,3,4,97966551507,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,98.066,13241.09
872467dd03,Genome,150,1,148,223,3,83,3,4,97966551507,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,98.0651,44133.2
a156d3ebfc,Genome,150,2,148,222,3,84,3,4,92340901387,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,93.5638,2154.5
7f88ecb0d9,Genome,150,2,148,222,3,84,3,4,92340901387,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,93.7639,8454.98
bee3f67f27,Genome,150,2,148,222,3,84,3,4,92340901387,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,92.5128,6739.62
c5a8a19013,Genome,150,2,148,222,3,84,3,4,92340901387,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,92.449,12482.85
3bf58801e0,Genome,150,2,148,222,3,84,3,4,92340901387,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,92.4474,41605.31
4695236f75,Genome,150,3,148,219,3,81,3,4,106005502571,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,107.1813,2450.45
c875c5b5c2,Genome,150,3,148,219,3,81,3,4,106005502571,lenovo_thinkedge,2,16,32,32.0,3125,0.01,1000,44.7,89,107.1183,9650.47
7b869ad5c0,Genome,150,3,148,219,3,81,3,4,106005502571,dell_r6715,1,160,160,336.0,3125,0.01,1000,72.8,374,106.1368,7731.56
26714c21b0,Genome,150,3,148,219,3,81,3,4,106005502571,dell_r6725,1,320,320,672.0,3125,0.01,1000,135,711,106.078,14322.83
05a6ec5a66,Genome,150,3,148,219,3,81,3,4,106005502571,lenovo_sr850,1,344,344,688.0,3125,0.01,1000,450,1578,106.0761,47738.31
7b56602ca7,Genome,150,4,148,215,3,77,3,4,121033708031,lenovo_st45,1,12,12,40.8,3125,0.01,1000,21.5,105,121.6727,2770.3
